Epc= 455, Train ADE,FDE = (0.748, 1.378) | time = 34.4
Epc= 460, Train ADE,FDE = (0.712, 1.347) | time = 34.2
Epc= 465, Train ADE,FDE = (0.765, 1.412) | time = 34.6
Epc= 470, Train ADE,FDE = (0.761, 1.413) | time = 34.3
Epc= 475, Train ADE,FDE = (0.719, 1.323) | time = 34.7
Epc= 480, Train ADE,FDE = (0.785, 1.451) | time = 34.9
Epc= 485, Train ADE,FDE = (0.758, 1.378) | time = 34.8
Epc= 490, Train ADE,FDE = (0.705, 1.297) | time = 34.9
Epc= 495, Train ADE,FDE = (0.781, 1.421) | time = 34.2
Epc= 500, Train ADE,FDE = (0.753, 1.370) | time = 34.5
Epc= 505, Train ADE,FDE = (0.727, 1.341) | time = 34.6
Epc= 510, Train ADE,FDE = (0.750, 1.330) | time = 34.2
Epc= 515, Train ADE,FDE = (0.714, 1.298) | time = 34.7
Epc= 520, Train ADE,FDE = (0.715, 1.279) | time = 34.4
Epc= 525, Train ADE,FDE = (0.767, 1.366) | time = 34.4
Epc= 530, Train ADE,FDE = (0.690, 1.238) | time = 34.9
Epc= 535, Train ADE,FDE = (0.689, 1.217) | time = 34.9
Epc= 540, Train ADE,FDE = (0.715, 1.252) | time = 34.5
Epc= 545, Train ADE,FDE = (0.745, 1.341) | time = 34.7
Epc= 550, Train ADE,FDE = (0.700, 1.226) | time = 34.5
Epc= 555, Train ADE,FDE = (0.665, 1.195) | time = 35.0
Epc= 560, Train ADE,FDE = (0.652, 1.137) | time = 34.4
Epc= 565, Train ADE,FDE = (0.666, 1.156) | time = 34.4
Epc= 570, Train ADE,FDE = (0.724, 1.261) | time = 35.0
Epc= 575, Train ADE,FDE = (0.653, 1.134) | time = 35.1
Epc= 580, Train ADE,FDE = (0.676, 1.182) | time = 34.9
Epc= 585, Train ADE,FDE = (0.645, 1.153) | time = 34.4
Epc= 590, Train ADE,FDE = (0.657, 1.179) | time = 34.5
Epc= 595, Train ADE,FDE = (0.617, 1.104) | time = 34.9
Epc= 600, Train ADE,FDE = (0.973, 1.725) | time = 35.0
Epc= 605, Train ADE,FDE = (0.598, 1.100) | time = 34.8
Epc= 610, Train ADE,FDE = (0.680, 1.248) | time = 34.2
Epc= 615, Train ADE,FDE = (0.639, 1.169) | time = 34.5
Epc= 620, Train ADE,FDE = (0.649, 1.176) | time = 34.9
Epc= 625, Train ADE,FDE = (0.580, 1.043) | time = 34.4
Epc= 630, Train ADE,FDE = (0.682, 1.248) | time = 34.5
Epc= 635, Train ADE,FDE = (0.603, 1.078) | time = 34.8
Epc= 640, Train ADE,FDE = (0.580, 1.062) | time = 35.1
Epc= 645, Train ADE,FDE = (0.567, 1.030) | time = 34.6
Epc= 650, Train ADE,FDE = (0.673, 1.246) | time = 34.6
Epc= 655, Train ADE,FDE = (0.634, 1.182) | time = 34.3
Epc= 660, Train ADE,FDE = (0.691, 1.274) | time = 34.8
Epc= 665, Train ADE,FDE = (0.592, 1.095) | time = 34.6
Epc= 670, Train ADE,FDE = (0.592, 1.111) | time = 34.9
Epc= 675, Train ADE,FDE = (0.627, 1.149) | time = 34.3
Epc= 680, Train ADE,FDE = (0.627, 1.128) | time = 34.4
Epc= 685, Train ADE,FDE = (0.605, 1.120) | time = 34.7
Epc= 690, Train ADE,FDE = (0.592, 1.093) | time = 34.8
